VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesPrice,TotalSalesDollars,TotalExciseTax,TotalSalesQuantity,FreightCost
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,1750.0,36.99,145080,3811251.6,672819.31,5101919.51,260999.2,142049.0,68601.68
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,1750.0,28.99,164038,3804041.22,561512.37,4819073.49,294438.66,160247.0,144929.24
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,1750.0,24.99,187407,3418303.68,461140.15,4538120.6,343854.07,187140.0,123780.22
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,1750.0,22.99,201682,3261197.94,420050.01,4475972.88,368242.8,200412.0,257032.07
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,1750.0,29.99,138109,3023206.01,545778.28,4223107.62,249587.83,135838.0,257032.07
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,750.0,23.99,138809,2466635.93,446932.09,3383912.4,111699.19,141860.0,89286.27
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,1750.0,39.99,70783,2177285.08,614529.34,2773367.73,127931.67,69627.0,123780.22
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,1750.0,17.99,161386,2088334.84,292586.29,2592041.35,272422.6,148265.0,257032.07
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,1750.0,27.99,91835,1903739.55,503661.02,2640491.19,166244.44,90481.0,257032.07
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,1750.0,21.99,108866,1773427.14,426902.78,2435393.39,196707.35,107061.0,123880.97
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,750.0,22.99,93205,1530426.1,436011.64,2148965.53,71840.57,91247.0,123780.22
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,1750.0,29.99,66942,1498161.96,442856.2,1840615.67,112875.19,61433.0,257032.07
480,BACARDI USA INC,2663,Dewars White Label,21.42,1750.0,29.99,69001,1478001.42,495957.83,2189368.78,128839.08,70122.0,89286.27
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,750.0,10.99,215668,1460072.36,189608.96,2326007.78,24083.77,214238.0,17587.59
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,750.0,48.99,42951,1452173.31,662320.04,2009508.61,32783.09,41639.0,68054.7
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,1750.0,59.99,31596,1414552.92,507291.43,1739044.28,52133.72,28372.0,257032.07
17035,PERNOD RICARD USA,5364,Kahlua,23.07,1750.0,29.99,60645,1399080.15,504735.06,1844950.29,109817.07,59771.0,123780.22
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,1750.0,33.99,64249,1396130.77,494487.65,2068091.16,119767.49,65184.0,257032.07
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,1750.0,39.99,47546,1373128.48,596574.93,1884307.34,88129.8,47966.0,257032.07
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,1750.0,21.99,79078,1317439.48,121065.25,1635666.58,145234.95,79042.0,257032.07
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,1750.0,29.99,57349,1283470.62,460087.95,1766391.12,104524.54,56888.0,89286.27
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,1750.0,49.99,33388,1277758.76,589137.79,1699669.55,60533.43,32945.0,89286.27
